ID,severity,category,status,evidence,standard_or_rule,remediation,effort
F-011,Major,Analysis population,CONFIRMED,"09_tfl/tfl_generation.R:135-145 uses all PSARESP rows; 09_tfl/output/tables/T-11-Efficacy_Tables.txt:34-37 reports 378/371 ITT denominators rather than the SAP baseline-PSA eligible subset","TROPIC_SAP_v3.0.docx §§5.2.1 and Table 21; ICH E9(R1) estimand population attribute","Apply the prespecified baseline PSA eligibility flag and reconcile subject counts/responders to an approved shell.",M (2-4 days)
F-012,Major,Population inconsistency,CONFIRMED,"F-01-1 figure displays total randomized/ITT N=749 (371 real MP + 378 synthetic CbzP), while protocol/SAP/publication specify 755; 08_reviewers_guides/TRACEABILITY_MATRIX.md:10-14 explains the MP-only ADaM","ICH E9(R1) population attribute; protocol/SAP ITT definition","Do not combine a 371-subject treated subset with a synthetic 378 arm and call it ITT; use all randomized trial subjects and reconcile counts to disposition.",L (requires full data)
F-013,Major,Variable traceability,CONFIRMED,"audit/adam_variable_traceability.csv covers all 159 variables: all 159 lack documented Predecessor; 29 derived variables lack MethodOID/algorithm; workbook Documents sheet is empty","ADaMIG 1.3 traceability; Define-XML 2.1 def:Origin/Method; FDA sdTCG traceability expectations","Populate source dataset.variable predecessors and derivations for every variable/value level; attach SAP/program documents and page/section references; gate completeness.",L (2-3 weeks)
F-014,Major,ARM traceability,CONFIRMED,"07_define_xml/define.xml:1291 survival code uses ECOGBL/MEASDISF but declares only ADTTE and omits ADSL; ResultDisplay names are not linked to actual output files; ARM has only 8 displays/10 analyses","ARM for Define-XML 1.0; Define-XML 2.1 referential integrity","Declare all analysis datasets/variables including ADSL covariates; add explicit output/display document references and cover every prespecified inferential analysis.",M (1 week)
F-015,Major,Conformance coverage,CONFIRMED,"06_telemetry/conformance/CORE_SDTM34_RUN_RECORD.md:12-17 validates only DM/AE/EX/DS/VS and records 20 issues/13,010 occurrences; required/expected-variable rules CORE-000334/-000355 remain","CORE-000022; -000266; -000334; -000355; -000732; -000767; FDA sdTCG 8.1.2","Run the supported rule set on every delivered SDTM dataset and the final Define; resolve defects or document scientifically justified exceptions in SDRG.",L (1-3 weeks)
F-016,Major,ADaM conformance,UNVERIFIED,"06_telemetry/p21_conformance_runrecord.md:24-49 says 0 published CORE ADaM rules and requires P21; the repository has only seven sponsor rules; current independent local check fails five label findings","FDA Validator Rules; ADaM Conformance Rules v5.0; ADaMIG 1.3","Run a current supported Pinnacle 21/validator profile on the final package, retain the complete report, and disposition every issue. Do not treat seven local rules as comprehensive.",M (tool access + 3-7 days)
F-017,Major,SDTM timing / sequence,CONFIRMED,"Full read of 35 sequence XPTs found non-ISO values in CMSTDTC/CXDTC/LBDTC/LSDTC/PNDTC; 03_validation_r/v_sdtm_validation.log:135-143 already warns; TSSEQ is nonunique by TSPARMCD","CORE-000294/-000354/-000505/-000730 family; CORE-000154/-000544; SDTMIG ISO 8601 and --SEQ","Map partial dates to legal ISO 8601 representations without invented components, correct TS sequencing, and rerun domain-wide timing checks.",M (3-7 days)
F-018,Major,Log cleanliness,CONFIRMED,"02_production_sas/oda_master_driver.log:3606 invalid INPUT; 3965-4710 contains 39 event-date flooring warnings; 5017-5019 uninitialized variables; 03_validation_r/v_adex_validation.log:138 warning; line 5146 nevertheless claims zero errors","Validated programming practice; 21 CFR 11.10(a); sponsor log SOP","Fail the build on unapproved warnings/uninitialized/invalid data notes; fix derivations and retain a reviewed exception whitelist only where scientifically justified.",M (3-7 days)
F-019,Major,Document contradiction / approval,CONFIRMED,"REPRODUCIBILITY.md:90 and 117 says PH scaling/Guyot deferred while ADRG §9 and TFL banners say Guyot; SAP Table 19/22 cites nonexistent OCCDS v1.1; SAP Tables 23-24 contain blank [Name]/[Date] approvals","ICH E9(R1) A.6; document control; 21 CFR 11.50 and 11.70 when electronic approval is asserted","Reconcile reconstruction and OCCDS language; issue an approved, version-controlled SAP/ADRG/SDRG set with signer identity, date/time, meaning and record linkage.",M (1-2 weeks)
F-020,Major,Dataset-JSON lifecycle,CONFIRMED,"06_telemetry/export_datasetjson.py:65 uses nonexistent ADCM.CMSTDT; 71-76 claims dynamic --SEQ but 143 only uses hardcoded keys and SDTM MDV 3.1.1; 267-293 reads current empty preview m5 and can pass 0/0; 43 JSON files vs 42 NDJSON (TA missing)","Dataset-JSON 1.1 schema passes, but FDA currently treats Dataset-JSON as evaluation/pilot; metadata/data traceability","Make zero-input a hard failure; source the final uplifted package; generate keys from Define; align MDV; orchestrate or remove NDJSON; compare every row/column to XPT.",M (1 week)
F-021,Major,USDM reproducibility / CT,CONFIRMED,"06_telemetry/build_usdm.py:30 and 53-55 uses uuid4 on every build; 36-38 hardcodes CT 2024-03-29 while project declares 2026-03-27; output is not packaged","21 CFR 11.10(a),(e),(k); CDISC CT 2026-03-27; official USDM conformance UNVERIFIED","Use stable deterministic identifiers, the declared CT release, official versioned schema validation, and hash-bound output or classify/remove this exploratory layer.",M (3-5 days)
F-022,Major,ARS completeness,CONFIRMED,"06_telemetry/build_ars.py:47-53 covers only OS/PFS/TTPSA/TTUMOR; TTPAIN/TTSAE and other SAP/TFL analyses are absent; output has no eCTD consumer","ARS 1.0; ICH E9(R1) A.6","Model all prespecified analyses and displays; validate against the official schema; resolve document references and define a regulatory delivery route.",M (1-2 weeks)
F-023,Major,Traceability matrix defects,CONFIRMED,"08_reviewers_guides/TRACEABILITY_MATRIX.md:37 cites nonexistent ADCM.CMSTDT (actual ASTDT); 73-83 omits produced T-17; 115-135 claims clean 22-stage evidence despite stale/unorchestrated layers","FDA sdTCG 8.1.2; Define-XML/ARM traceability","Regenerate the matrix from authoritative metadata/program manifests and fail on any unresolved dataset.variable, program, output, or evidence hash.",M (3-5 days)
F-024,Minor,Dead/orphan artifacts,CONFIRMED,"audit/orphans_dangling_deadcode.csv lists 63 explicit items: 44 unindexed payloads plus dangling/dead/unorchestrated/manual/delivery artifacts","Configuration management; 21 CFR 11.10(k)","Resolve every register item by removal, archival designation, documented manual control, or integration into the validated DAG.",M (1 week)
F-025,Major,Part 11 controls,UNVERIFIED,"Repository has Git provenance but no evidence of validated system qualification, role-based access/authority checks, secure time-stamped audit trail, e-signature identity verification, or signature/record linking; SAP approvals are blank","21 CFR 11.10(a),(d)-(g),(i)-(k); 11.50; 11.70; 11.100; 11.200","Treat this codebase as non-Part-11 until the executing platform/process is validated and governed; supply SOPs, access records, training, audit trail, e-signature controls and validation evidence.",XL (organizational CSV program)
