ID,severity,category,status,evidence,standard_or_rule,remediation,effort,disposition_class,disposition_date,disposition_note
F-011,Major,Analysis population,RESOLVED,"05_outputs/tfl/tfl_generation.R joins ADSL.PSABL, excludes PSABLIF='Y' fallback values, and filters observed baseline PSA >=20 for the SAP measurable-PSA response. Current output reports CbzP 145/361 (40.2%) and MP 61/329 (18.5%) with combined eligible N=690. tests/test_tfl_population_contract.R, figure-data reconciliation, and the expanded real-SAS DAG (37/37) pass.","02_specifications/sap/TROPIC_SAP_v4.0_industry_grade.docx §§5.2, 10.2; ICH E9(R1) estimand population attribute","Implemented the observed-baseline gate, duplicate-USUBJID guard, and shared response-evaluable set; regenerated R/SAS outputs, reviewer package, and eCTD evidence; verified 2026-08-03.",Low,resolve_now,2026-08-03,2026-08-03 audit MAJOR remediated
F-012,Major,Population inconsistency,ACCEPTED,"F-01-1 figure displays total randomized/ITT N=749 (371 real MP + 378 synthetic CbzP), while protocol/SAP/publication specify 755; 07_reviewer_explanation/guides/TRACEABILITY_MATRIX.md:10-14 explains the MP-only ADaM",ICH E9(R1) population attribute; protocol/SAP ITT definition,Accepted: do not label combined 749 as original-trial ITT. Controlled figures show analysis cohorts present in this package (real MP + synthetic CbzP). Protocol N=755 requires full two-arm source data.,Accepted 2026-07-09; L with full data,non_submission_demo_limit,2026-07-09,N=749 is MP real + CbzP synthetic; not protocol ITT 755 (06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md).
F-013,Major,Variable traceability,RESOLVED,"The authoritative specification and metadata lineage application cover all 161 ADaM variables with documented predecessors and MethodOID algorithms where required; platform/metadata_lineage/metadata_lineage_status.json shows governed lineage/method check PASS with zero predecessor, method, Define-XML, origin, or text mismatches.",ADaMIG 1.3 traceability; Define-XML 2.1 def:Origin/Method; FDA sdTCG traceability expectations,"Resolved by config/metadata_lineage.yaml, platform/apply_metadata_lineage.py, ADaM_spec.xlsx predecessor/method updates, and Define-XML MethodDef expansion. Keep lineage check in CI/delivery controls.",Closed 2026-07-09,,,
F-014,Major,ARM traceability,RESOLVED,"03_metadata/define/define.xml now has 10 ResultDisplays/18 AnalysisResults: every controlled statistical output is mapped except the non-analysis F-01-1 flow diagram; OS/PFS declare ADSL ECOGBL/MEASDISF/TRT01P covariates; display names bind physical TFL IDs; TTPAIN and response/Optimus table results are explicit; every display carries the Path A CbzP disclosure. platform/define_arm_contract.py and G02 enforce the contract with negative-control tests.",ARM for Define-XML 1.0; Define-XML 2.1 referential integrity,"Expanded controlled-scope ARM, corrected TTUMOR to ITT-primary, added TTPAIN and response/Optimus mappings, declared survival covariates, bound display names to TFL IDs, and made the semantic contract executable.",Closed 2026-08-04,resolve_now,2026-08-04,Controlled analysis-output ARM coverage complete for Path A; deferred SAP outputs remain outside the release catalog.
F-015,Major,Conformance coverage,ACCEPTED,"platform/conformance/CORE_SDTM34_RUN_RECORD.md:12-17 validates only DM/AE/EX/DS/VS and records 20 issues/13,010 occurrences; required/expected-variable rules CORE-000334/-000355 remain",CORE-000022; -000266; -000334; -000355; -000732; -000767; FDA sdTCG 8.1.2,"Accepted: controlled evidence is the documented CORE SDTMIG 3.4 run record plus SDRG known issues. Exhaustive domain-by-domain residual disposition of all CORE occurrences is a broader conformance program, not a silent claim of zero findings.",Accepted 2026-07-09; L for full residual closure,external_dependency;scope_out_with_disclosure,2026-07-09,Targeted SDTMIG 3.4 CORE run retained; full-domain residual program external (06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md).
F-016,Major,ADaM conformance,ACCEPTED,06_qc_evidence/conformance/p21_conformance_runrecord.md:24-49 says 0 published CORE ADaM rules and requires P21; the repository has only seven sponsor rules; current independent local check fails five label findings,FDA Validator Rules; ADaM Conformance Rules v5.0; ADaMIG 1.3,"Accepted: do not claim full Pinnacle 21 ADaM clearance. Controlled substitute = authored CORE ADaM local rules, spec→define/spec→data gates, and dual-language recon. Run commercial P21 when tool access exists.",Accepted 2026-07-09; M with P21 access,external_dependency,2026-07-09,No P21 commercial ADaM pack in-repo; local CORE ADaM rules + spec gates substitute (06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md).
F-017,Major,SDTM timing / sequence,ACCEPTED,Full read of 35 sequence XPTs found non-ISO values in CMSTDTC/CXDTC/LBDTC/LSDTC/PNDTC; 04_analysis_datasets/programs/r/v_sdtm_validation.log:135-143 already warns; TSSEQ is nonunique by TSPARMCD,CORE-000294/-000354/-000505/-000730 family; CORE-000154/-000544; SDTMIG ISO 8601 and --SEQ,Accepted as source-data limitation (not unreported programming defect): partial ISO dates and TS sequencing issues are documented in SDRG and SDTM validation warnings; analysis does not invent day precision.,Accepted 2026-07-09,scope_out_with_disclosure,2026-07-09,Source PDS date precision / TSSEQ carried in SDRG as known data limitation (06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md).
F-018,Major,Log cleanliness,RESOLVED,"platform/check_log_cleanliness.py and config/log_cleanliness.yaml enforce a governed scan of configured persisted logs only (coverage=configured_persisted_logs_only; not full stage stdout/stderr). Current log_cleanliness_status.json is PASS: 13 logs scanned, 0 unapproved findings, and 1 exact capped reviewed exception for 44 source-classified pre-treatment TEAE rows. Real ODA production/reconciliation is GREEN; release-candidate grade remains independently controlled by clean-tree review.",Validated programming practice; 21 CFR 11.10(a); sponsor log SOP,"Resolved by guarding dirty date operations, eliminating uncontrolled SAS/R warnings, adding a blocking log-cleanliness gate with reviewed-exception caps and explicit coverage disclosure, and wiring it into validation strategy/release controls.",Closed 2026-08-04,,,
F-019,Major,Document contradiction / approval,ACCEPTED,00_governance/REPRODUCIBILITY.md and ADRG §7/§9 state OS/PFS Guyot reconstruction and secondary PH-scaling; ADRG/SDSP state OCCDS v1.0 + custom episode-merging (no OCCDS v1.1). SAP v4.0 signature blocks remain blank by design for non-sponsor-approved remediation SAP (SAP_LOCK_REVIEW_MEMO).,ICH E9(R1) A.6; document control; 21 CFR 11.50 and 11.70 when electronic approval is asserted,Accepted after documentation reconciliation: reconstruction language aligned; OCCDS described as v1.0 + TROPIC extension. Electronic/sponsor SAP approval signatures are out of scope for this portfolio package (non-Part-11 demo).,Accepted 2026-07-09,resolve_now_partial;non_submission_demo_limit,2026-07-09,Docs reconciled for Guyot/OCCDS v1.0; blank SAP signatures remain demo limit (06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md).
F-020,Major,Dataset-JSON lifecycle,ACCEPTED,"export_datasetjson.py uses ADCM ASTDT business keys (study_manifest), SDTM MDV 3.4 for package layer, fails closed on zero SDTM inputs / zero VALID exports. Layer is not consumed by package_ectd.py.","Dataset-JSON 1.1 schema passes, but FDA currently treats Dataset-JSON as evaluation/pilot; metadata/data traceability",Partially resolved (key/MDV/empty-run hardening). Residual accepted: Dataset-JSON is an exploratory exchange layer without eCTD delivery route; NDJSON optional path remains non-default. Full row-for-row packaging program is backlog.,Accepted 2026-07-09; M for full packaging route,resolve_now_partial;scope_out_with_disclosure,2026-07-09,Keys/MDV/empty-export hardened; Dataset-JSON remains exploratory non-eCTD layer (06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md).
F-021,Major,USDM reproducibility / CT,ACCEPTED,build_usdm.py uses UUID5 deterministic ids and CT_VER=2026-03-27 aligned with project CORE posture; output under 03_metadata/usdm/ is not eCTD-packaged.,"21 CFR 11.10(a),(e),(k); CDISC CT 2026-03-27; official USDM conformance UNVERIFIED",Partially resolved (reproducible IDs + declared CT version). Residual accepted: USDM remains exploratory study-definition export without submission packaging or official schema gate in the release claim.,Accepted 2026-07-09,resolve_now_partial;scope_out_with_disclosure,2026-07-09,Deterministic UUID5 + CT 2026-03-27; USDM remains exploratory (06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md).
F-022,Major,ARS completeness,ACCEPTED,platform/build_ars.py covers MP-arm OS/PFS/TTPAIN/TTPSA/TTUMOR with record-accounting fields; TTSAE and response/safety/Optimus analyses remain outside the additive ARS pilot; output has no eCTD consumer,ARS 1.0; ICH E9(R1) A.6,Accepted: ARS models the controlled real-MP TTE core and explicitly excludes the synthetic comparator. Full controlled-catalog ARS coverage and an eCTD consumer are deferred with config/tfl_output_catalog.yaml as scope control.,Accepted 2026-08-04; M-L for full ARS,scope_out_with_disclosure,2026-08-04,ARS covers the real-MP TTE core including TTPAIN; full TFL ARS + eCTD consumer remain exploratory backlog.
F-023,Major,Traceability matrix defects,RESOLVED,07_reviewer_explanation/guides/TRACEABILITY_MATRIX.md uses the current unique governed dataset keys; maps all 21 controlled output IDs; records 10 ARM ResultDisplays/18 AnalysisResults; and aligns orchestration references to the current 37-stage manifest DAG including synthetic reconstruction/validation/export, F042 endpoint control, results/forest/figure reconciliation, metadata gates, and release binding.,FDA sdTCG 8.1.2; Define-XML/ARM traceability,"Resolved by regenerating the matrix content against study_manifest keys, config/tfl_output_catalog.yaml, the executable ARM contract, and current orchestrator stage model.",Closed 2026-08-04,resolve_now,2026-08-04,TRACEABILITY_MATRIX refreshed for the portfolio finalization audit.
F-024,Minor,Dead/orphan artifacts,ACCEPTED,"06_qc_evidence/audit/orphans_dangling_deadcode.csv rebuilt 2026-07-09: 18 register rows, 0 unindexed XPT payloads in 08_submission_package/ectd/0000/m5 (index/href parity). Remaining items are dead/manual tools, the manual SAS-figure diagnostic renderer, CbzP reconstruction prerequisites, and delivery orphans (Dataset-JSON/ARS/USDM). gen_adam_labels.R is RESOLVED_IN_DAG via config/study_manifest.yaml pre-stage.",Configuration management; 21 CFR 11.10(k),"Accepted as ongoing configuration hygiene: register rebuilt with 0 unindexed XPT; remaining items are manual/diagnostic/exploratory by design. Track via orphans_dangling_deadcode.csv, not as release Crit/Major.",Accepted 2026-08-01,scope_out_with_disclosure,2026-08-01,Orphan register is living hygiene (18 rows); not Crit/Major RC gate (06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md).
F-025,Major,Part 11 controls,ACCEPTED,"Repository has Git provenance but no evidence of validated system qualification, role-based access/authority checks, secure time-stamped audit trail, e-signature identity verification, or signature/record linking; SAP approvals are blank","21 CFR 11.10(a),(d)-(g),(i)-(k); 11.50; 11.70; 11.100; 11.200","Accepted: Git + release-run hash seals are reproducibility controls, not 21 CFR Part 11 validated-system evidence. No e-signature/SOP/access-control claim is made. Organizational CSV program required before any Part 11 assertion.",Accepted 2026-07-09; XL org program,non_submission_demo_limit,2026-07-09,Explicitly non-Part-11 portfolio package (06_qc_evidence/audit/FINDINGS_DISPOSITION_BOARD.md).
F-026,Major,AE extract fidelity,ACCEPTED,"~1134 BASELINE AE rows skeleton: terms present AESER/AEREL/AEOUT blank; TEAE blank AESER ~0-1; TRTEMFL separates analysis",OCCDS/TEAE analysis practice,"Disclose ADRG 4B; soft QC TEAE AESER; do not impute AESER on baseline skeleton",Low,scope_out_with_disclosure,2026-07-09,D-012 follow-on
F-027,Minor,LB CRF fidelity,ACCEPTED,"ALB and LDH not on CRF hematology/biochemistry panels and absent from PDS LBTESTCD; ADSL ALBBL/LDHBL Assigned placeholders",ADaM baseline covariates,"Keep Assigned origin; do not claim PDS stripped form-collected ALB/LDH",Low,scope_out_with_disclosure,2026-07-09,D-012 Class C
F-028,Major,SDTM exposure/arm consistency,ACCEPTED,"Subject 006193-530-002-603 has 10 EX rows EXTRT=XRP6258 while DM.ARM=MITOXANTRONE/PREDNISONE for all 371; present in pristine and package EX",SDTMIG EX vs DM arm consistency,"Disclose SDRG; programming uses DM/ADSL arm; do not silently recode EXTRT; optional QC listing",Med,scope_out_with_disclosure,2026-07-09,WS1_SDTM_E2E_AUDIT
F-029,Major,T-17 Safety population,RESOLVED,"T-17-1/T-17-4 counted all 378 CbzP ADEX RDI rows; SAP requires CbzP Safety (N=371). Fixed 05_outputs/tfl/tfl_generation.R (adex_safety = ADSL SAFFL=Y left-join; counts 241/96/34; N=371) and regenerated T-17-Optimus_Tables.txt. Independent recomputation matched (241/96/34; 65.0%/25.9%/9.2%).",SAP v4.0 Appendix D Optimus population; ICH E9(R1) analysis population,"Restrict RDI displays to SAFFL=Y; regenerate T-17; verified in output 2026-08-01.",Med,resolve_now,2026-08-01,2026-08-01 audit BLOCKER remediated; CbzP N=378->371
F-030,Major,OS/PFS stratification coding,RESOLVED,"compute_tte_stats (05_outputs/tfl/tfl_stats.R), F-12-1 R/SAS forest programming, and forest reconciliation now use ECOG 0-1 vs 2 crossed with MEASDISF (4 strata); the prior raw ECOGBL 0/1/2 logic (6 strata) is removed. Regression tests sample ECOG=2 and assert pooled equality. Regenerated OS p=0.000213 / PFS p=1.95e-7 and Stage-22 forest reconciliation PASS.",SAP v4.0 randomization strata; ICH E9(R1),"Pool ECOGBL<=1 as one stratum across TTE, forest, and reconciliation code; regenerate TFLs; verified 2026-08-01.",Med,resolve_now,2026-08-01,2026-08-01 audit MAJOR remediated
F-031,Major,TFL identifier reversal,RESOLVED,"config/tfl_output_catalog.yaml, the physical T-11 text block, and the generated TFL index now agree with SAP v4.0 Appendix D: T-11-6=TTUMOR and T-11-7=TTPSA. The semantic endpoint gate fails on a title/physical-block inversion; regenerated table, package, and traceability evidence pass.",SAP v4.0 Appendix D IDs; FDA sdTCG 8.1.2 traceability,"Swap identifiers to SAP order; add executable endpoint-semantic gate; regenerate T-11 and package; verified 2026-08-01.",Low,resolve_now,2026-08-01,2026-08-01 audit MAJOR remediated
F-032,Major,TFL statistic mislabel,RESOLVED,"The 2026-08-01 repair first relabeled the then-computed Cox Wald p-value. The 2026-08-09 forensic closure completed the intended method: secondary TTE blocks now report a stratified Cox HR and a separately computed stratified log-rank p-value. Current live values are TTPSA HR 0.84 (0.70-0.99), p=0.0319; TTUMOR HR 0.60 (0.44-0.82), p=0.0007; TTPAIN HR 2.84 (1.97-4.11), p<0.0001.",ICH E9(R1) analysis results; accurate output labeling,"Compute and label each statistic explicitly; regenerate T-11 and reviewer narrative; revalidated 2026-08-09.",Low,resolve_now,2026-08-09,2026-08-09 forensic pipeline closure
F-033,Major,Release seal HEAD recursion,RESOLVED,"build_release_run_manifest.py recorded current HEAD; scripts/verify_release.py required recorded head == checkout HEAD, impossible after committing the tracked seal (commit advances HEAD). Replaced with source_tree_sha256 digest over controls+programs (seal-output-free, recomputable in a bare clone); current_HEAD check removed; unit test added and passing.","21 CFR 11.10(a),(e),(k); reproducibility/change control","Bind seal to source-tree digest; rebuild manifest; verified 2026-08-01.",Med,resolve_now,2026-08-01,2026-08-01 audit CRITICAL remediated
F-034,Major,CRF falsely tagged annotated,RESOLVED,"platform/build_ectd_backbone.py tagged blankcrf.pdf annotated-crf; Path A claims no aCRF (PRODUCT_CLAIM 8; F-005). Retagged study-report-body (ich); RUN_RECORD corrected; backbone rebuilt (0 annotated-crf leaves) and materialized 90/90.",FDA eCTD STF leaf tags; PRODUCT_CLAIM 8,"Retag blank CRF as study-report-body; rebuild backbone; verified 2026-08-01.",Low,resolve_now,2026-08-01,2026-08-01 audit CRITICAL remediated
F-035,Major,Reviewer-guide derivation drift,RESOLVED,"ADRG/SDRG stated ALBBL=38.0/LDHBL=220.0 constants flagged Y; code sets missing with blank flags (A_adsl_generation.sas:274-277; v_adsl_validation.R:190-193). SDRG claimed COUNTRY=IND/REGION=REST OF WORLD; code derives neither. SDSP called the package a submission/methodological re-analysis exceeding Path A. All three guides corrected to match code/claim; PDFs re-rendered via package_ectd; define.xml origin/method descriptions corrected (validated 410 checks).",ADaMIG 1.3; Define-XML 2.1 origins; PRODUCT_CLAIM Path A boundaries,"Correct ADRG/SDRG/SDSP to code/claim truth; re-render guide PDFs; verified 2026-08-01.",Med,resolve_now,2026-08-01,2026-08-01 audit MAJOR remediated
F-036,Major,ORR p-value sync,RESOLVED,"The original 2026-08-01 narrative mismatch was corrected. After the 2026-08-09 RECIST confirmation/prior-PD correction, the live measurable-disease result is CbzP 30/179 versus MP 12/203 with Fisher p=0.0009; T-11, analysis_report, ADRG, and WS-2 now agree.",Cross-artifact consistency; ICH E3,"Bind narrative values to the generated T-11 output and regression-test the response contract; revalidated 2026-08-09.",Low,resolve_now,2026-08-09,2026-08-09 forensic pipeline closure
F-037,Major,Figure-data reconciliation evidence,RESOLVED,"figure_data_reconcile.R recorded bare overall=PASS with empty detail. Now persists per-check counts, max deltas, and tolerances (KM OS/PFS, risk tables 32, waterfall 747, swimmer 60, E-R 730) in platform/figure_data_reconciliation_status.json.",Reproducibility/change control; auditability,"Persist structured per-check results; verified 2026-08-01 run.",Low,resolve_now,2026-08-01,2026-08-01 audit MAJOR remediated
F-038,Major,RC checklist scope conflation,RESOLVED,"build_release_candidate_checklist.py evaluated the pipeline-health full-DAG check with the release-manifest run_scope, producing a false BLOCKER while health recorded full_dag. Health check now uses pipeline_health.json run_scope alone; regenerated checklist shows the health check PASS (34/34) with only the correct dirty-worktree blocker remaining.",Release-candidate G09 semantics,"Decouple manifest and health run_scope in checklist; verified 2026-08-01.",Low,resolve_now,2026-08-01,2026-08-01 audit MAJOR remediated
F-039,Major,Release evidence freshness,RESOLVED,"The Stage-14 real-SAS companion render precedes the R primary output by minutes, while pipeline_health.json previously emitted a naive local timestamp; the TFL index therefore misclassified current companions as stale. build_tfl_output_index.py now allows bounded same-run mtime order, cibuild.py emits an explicit UTC timestamp, and the current index is PASS with zero stale or missing companions after the 34/34 real-SAS DAG.","21 CFR 11.10(e),(k); reproducibility/change control; current-run evidence binding","Correct the timestamp and same-run freshness controls; make companion freshness a completeness gate; regenerate index and package evidence; verified 2026-08-01.",Low,resolve_now,2026-08-01,2026-08-01 audit MAJOR remediated
F-040,Major,TTUMOR censoring,RESOLVED,"ADTTE TTUMOR censoring now restricts the pool to post-randomization RECIST values CR/PR/SD/PD and excludes ADRS death milestones; the final production output has zero TTUMOR censor records dated on DTHDT. Evidence: SECTION_03_ADAM_DERIVATION_AUDIT_2026-08-03.md and final 34/34 real-SAS DAG.","SAP v4.0 §§10.1, 10.3; ADaMIG BDS-TTE censoring traceability","Correct SAS/R censor pools, regenerate production/validation/package outputs, and reconcile admiral core; verified 2026-08-03.",Low,resolve_now,2026-08-03,2026-08-03 Section 3 remediated
F-041,Major,PFS censoring rule,RESOLVED,"PFS now uses the latest valid post-baseline RECIST/PSA/evaluable-pain assessment, or randomization when none exists; NACT remains priority. SAS, R, and admiral agree after the final 34-stage real-SAS run.","SAP v4.0 §10.1 / Table 13","Add governed last-evaluable candidates and no-post-baseline branch; regenerate and reconcile; verified 2026-08-03.",Med,resolve_now,2026-08-03,2026-08-03 Section 3 remediated
F-042,Major,PFS/TTPAIN pain derivation and provenance,ACCEPTED,"The corrected ED-01 through ED-07 rule is implemented in separate SAS/R tracks. The 2026-08-09 evidence has 37 primary pain-progression subjects (36 diary-only and 1 direct-RT-only), 15 complete-date RT records plus 1 missing/partial-date inventory record, and 43 pain responders among 156 response-evaluable real-MP subjects; ITT N=371. CM+PR union, source sensitivities, TTUMOR ITT, and SAP-native T-11 mappings are present.","Protocol Amendment 5 §§9.1.2.3-9.1.2.4 and 13.2-13.4; corrected de Bono et al. Lancet 2010 pp.1150-1151; SAP v4.0 §§10.1, 10.4 and Appendix D; ICH E9(R1) estimand/component traceability","Retain the separately programmed SAS/R derivations, exact subject-level parity gate, and full-DAG reseal as ongoing controls. Path A acceptance remains bounded by external qualified statistical/medical review; do not claim sponsor, medical, independent, or regulated approval.",Med,scope_out_with_disclosure,2026-08-09,2026-08-09 forensic pipeline closure; F-042 remains an accepted Path A residual pending external qualified review.
F-043,Minor,Pipeline run-scope telemetry,RESOLVED,"The abort path previously called write_telemetry without the manifest's complete expected-stage list, so a failed 27-stage run was recorded as RED/full_dag with stages_expected=27 and stages_not_run=[]. The committed 2026-08-05 isolated rerun record preserves this evidence. platform/cibuild.py now passes the complete stage map through serial and parallel abort paths; tests/test_pipeline_abort_scope.py verifies RED/partial_dag semantics and both callers.","Reproducibility/change control; truthful run-scope and failure telemetry","Pass the manifest-derived expected stage names into abort telemetry, add serial/parallel regression coverage, and retain the historical failed-run record unchanged; verified 2026-08-05.",Low,resolve_now,2026-08-05,2026-08-05 abort-scope telemetry corrected
F-044,Major,CI test coverage,RESOLVED,"CI omitted data-free regression tests: tests/test_pipeline_abort_scope.py (3 tests), tests/test_define_arm_contract.py (4 tests), and tests/test_f042_provisional_pain_derivation.R were not invoked by .github/workflows/ci.yml.","Reproducibility/change control; regression coverage for ARM contract, abort telemetry (F-043), and F-042 endpoint rules","Wire pytest for the Python tests and Rscript for the R derivation test into the validate job; verified 2026-08-05.",Low,resolve_now,2026-08-05,2026-08-05 CI audit closure
F-045,Major,CI eCTD package-copy test,RESOLVED,"tests/test_f042_sas_response_control.py compared the SAS source against the materialized 08_submission_package/ectd/0000/m5 copy, which is gitignored and absent on a fresh checkout, so the file could not run in data-free CI.","Reproducibility/change control; package-copy drift detection","Split the test: always assert the tracked m5 program copy matches source; skip the materialized eCTD copy when absent via pytest.mark.skipif; wire into CI; verified 2026-08-05.",Low,resolve_now,2026-08-05,2026-08-05 CI audit closure
